domain,item,question,criteria_for_scoring,correct_answer_examples,incorrect_answer_examples,short_description,response_length,cognitive_demand,answer_scope,scoring_subjectivity
ELA,1,"Most people believe that an action that helps many is preferable to one that helps only a few. This philosophy—that the most ethical action is the one that benefits the greatest number of people—is called utilitarianism. Taxation is a common example of utilitarianism: though we lose some of our money to taxes each year, that money is used to help society as a whole by supporting free public schools, fire and police services, safe roads, and so on. However, utilitarianism is not a perfect system. Taken to the extreme, it can have __deleterious__ effects. For example, stealing someone’s entire life savings to donate to charity might be utilitarian, since it helps a large number of people. But few people would think the theft was fair to the now penniless victim!

What is the meaning of deleterious, as it is used in the passage?
","Correct answers will recognize that deleterious is an adjective that means harmful, detrimental, or negative in the context of the passage. The answer must not be ""deleterious"".
","Synonyms of deleterious, e.g., harmful, damaging, detrimental, bad, negative, undesirable, causing harm or damage, etc.

Synonyms of deleterious plus intensifiers, e.g., very harmful, really bad, etc.

Antonyms of deleterious with not, e.g., not beneficial, not positive, etc.
","Antonyms of deleterious

Other adjectives in/related to the passage that are not synonymous with deleterious, e.g., perfect, utilitarian

Words that are not adjectives
",Identify meaning of a word in a passage,Shorter,Low,Narrow,Low
ELA,2,"Groundwater, which is water that exists underground, provides nearly half the world’s supply of drinking water. But if we keep removing water from the ground at the current rate, both drinking water and food supplies will rapidly dwindle in the coming decades. If groundwater usage continues to increase, communities worldwide could suffer from shortages of food and water. Luckily, smart policy choices and scientific advances can help reverse groundwater losses. A local government in Thailand’s Bangkok Basin came up with an ingenious system to track citizens’ groundwater usage, enabling individuals to monitor and reduce their consumption of groundwater. Innovative technologies like automotive irrigation systems and drip lines that can deliver smaller amounts of water directly to plants’ roots have also proven to effectively reduce groundwater use. These promising techniques suggest that the future of groundwater may be brighter than we imagine.

Based on the author’s use of words like luckily, innovative, and promising, what is the tone of the passage?
","Correct answers will recognize that the overall tone of the passage is hopeful and optimistic.
","Correct answers will likely be a word or phrase that is synonymous with hopeful, e.g., hopeful, optimistic, positive, full of hope, etc.
","Students may read the first two sentences of the passage, which state a serious problem, and conclude that the overall tone is negative or pessimistic.

Students may identify the tone as neutral, serious, or concerned. Although it’s true that the passage does discuss a serious issue and raise concerns about groundwater use, the overall tone is positive, as evidenced by the final sentence and the fact that the three words listed in the question stem have positive connotations.
",Interpret tone of passage,Shorter,High,Narrow,Low
ELA,3,"While the phrase ""mind control"" may conjure up images of movie supervillains, mind control is not simply science fiction. In fact, the United States' government has, at various points in time, conducted research on the potential for mind control. Perhaps the most notorious example is the sinister-sounding Project MKUltra. Developed by the CIA in the 1950s, MKUltra focused on how to best interrogate suspects and prisoners. The project focused on various forms of brainwashing and manipulation, which included such techniques as sensory deprivation and hypnosis. As if these methods were not terrible enough, CIA researchers also studied the use of mind-altering drugs to control suspects’ thinking and behavior. Hoping to find new interrogation techniques for a potential war against the Soviet Union, agents administered these drugs without the suspects’ knowledge or permission. Participants suffered horrifying treatment, and several—including an Army officer—died as a direct result of the experiments.

List three words from the passage that help contribute to its critical tone.
","Correct answers will list three of the words in the passage that have critical or negative connotations.
","There is a finite set of correct answers here: supervillains, notorious, sinister, brainwashing, manipulation, terrible, suffered, horrifying.
","Words in the passage that do not contribute toward the negative tone. 

Words that are not in the passage.

Note: There are some words in the passage—e.g., interrogation, sensory deprivation, control, mind-altering—that are not themselves critical in tone but may seem so in the context of the passage. 
",Identify 3 words from passage with negative connotation,Shorter,High,Moderate,Low
ELA,4,"While the phrase ""mind control"" may conjure up images of movie supervillains, mind control is not simply science fiction. In fact, the United States' government has, at various points in time, conducted research on the potential for mind control. Perhaps the most notorious example is the sinister-sounding Project MKUltra. Developed by the CIA in the 1950s, MKUltra focused on how to best interrogate suspects and prisoners. The project focused on various forms of brainwashing and manipulation, which included such techniques as sensory deprivation and hypnosis. As if these methods were not terrible enough, CIA researchers also studied the use of mind-altering drugs to control suspects’ thinking and behavior. Hoping to find new interrogation techniques for a potential war against the Soviet Union, agents administered these drugs without the suspects’ knowledge or permission. Participants suffered horrifying treatment, and several—including an Army officer—died as a direct result of the experiments.

What is the author's primary purpose for writing?
","Correct answers will recognize that the author is not simply providing an objective description of Project MKUltra but criticizing the program for its unethical methods. Correct answers should acknowledge that the author is being critical, either by stating directly that the author is criticizing the program or by noting that the author believes the program was unethical or harmful. 
","To criticize Project MKUltra

To critique the government’s/CIA’s experiments with mind control

To inform readers about unethical experiments in mind control conducted by the U.S. government/CIA

To persuade readers that Project MKUltra was unethical
","Purposes that do not acknowledge that the author is criticizing the program, e.g., to inform readers about Project MKUltra, to explain an experiment that was conducted by the CIA

Statements of general purposes for writing that are not passage-specific, e.g., to entertain, to inform, to describe
",Identify author's purpose for writing a passage,Longer,High,Moderate,Low
ELA,5,"1. At the aquarium, Wilson had been tasked with an important mission: designing interesting toys to keep the intelligent octopus occupied. ""If they have nothing to do, they become bored,"" Bill explained. And boring your octopus is not only cruel; it's a hazard. I knew from living with two border collies and a 750-pound pet pig that to allow a smart animal to become bored is to court disaster. They will invariably come up with something creative to do with their time that you don't want them to do. [...]

2. To avert disaster, aquarium staff carefully design escape-proof lids to their octopus tanks and try to invent ways to keep their octopuses occupied. In 2007, the Cleveland Metroparks Zoo put together an enrichment handbook for octopus, filled with ideas of how to keep these smart creatures entertained. Some aquariums hide food inside a Mr. Potato Head and let the octopus dismantle the toy. Others offer Legos. Oregon State University's Hatfield Marine Science Center has devised a contraption that allows an octopus to create art by moving levers that release paint onto a canvas—which is then auctioned to generate funds to maintain the octopus tank.

How does paragraph 2 develop the idea that it’s important to prevent an octopus from becoming bored?
","Correct answers will recognize that paragraph 2 provides lists examples of creative ways that people keep octopuses entertained and prevent them from becoming bored. 
","It gives examples of ways aquarium staff keep octopuses entertained.

It provides specific details about how people prevent octopuses from getting bored. 

Note: Correct answers should include variations with all the possible plurals of octopus: octopuses, octopi, octopodes. (The latter is very unlikely—though technically correct!—but a smart-alec student like me might absolutely have used it.)
","Incorrect answers will not explain that paragraph 2 provides specific details or examples that help develop the idea that octopuses need constant entertainment. 

Some students may restate the stem without providing additional explanation, e.g., “Paragraph 2 develops the idea that it’s important to prevent an octopus from becoming bored.”

Some students may incorrectly suggest that paragraph 2 details ways that Wilson and Bill entertain their octopuses—but paragraph 2 includes a range of examples that are not specific to the aquarium described in paragraph 1. 
",Describe how an idea is developed in passage,Longer,High,Moderate,High
ELA,6,"When my family first moved to California, we were awed by our new surroundings. My sisters and I could see a sliver of ocean from the window of the bedroom we shared, and we loved to bike down to the beach to collect shells or listen to the waves crashing against the rocks. When they could scrape together bus fare for five, my parents would take us to the Golden Gate Bridge, where we would feed stale bread to the gulls and watch as the sun sank into the Pacific and the sky changed from pale blue to cornflower to indigo. But mostly, we girls were on our own. Our parents spent long hours at the restaurant they ran with my uncle, trying to entice customers with two-for-one specials and free drink refills. But even bottomless glasses of fruit punch and root beer didn’t tempt passersby to sample my mother’s exotic dishes, and my parents struggled to stay afloat. We wore hand-me-downs from our cousins and patched our old textbooks with brown paper and masking tape.

What is the meaning of the phrase “stay afloat,” as it is used in the passage?
","Correct answers will recognize that the phrase “stay afloat” is being used idiomatically to mean “struggled to achieve financial stability” or “struggled to make enough money.”
","Had a hard time making ends meet

Struggled to make enough money

Found it difficult to make enough money to support their family
","Students may fail to recognize that the phrase is being used idiomatically and may define it literally, e.g., to float in water, to not sink in water, etc. 
",Identify meaning of idiom in passage context,Shorter,Low,Narrow,Low
ELA,7,"From their masterful camouflage to their ability to squeeze through tight spaces, octopuses are fascinating creatures. They show their intelligence by solving puzzles, opening jars, and navigating mazes. In one study, scientists even observed octopuses gathering coconut shells to use as shelters at the bottom of the ocean floor. The creatures used their tentacles to collect two halves of coconut shells and carried them beneath their bodies, walking awkwardly as though they were on stilts. When they encountered an open space or possible threat, they used the coconut shells as a protective shield by closing the halves over themselves. What makes this so special? Saving a tool for future use is considered an advanced function for a species and is observed in only a few other animals, like dolphins and elephants. Octopuses have yet another skill to add to their already impressive resumes!

Write one sentence that states the central idea of the passage in your own words.
","Correct answers will include both parts of the text’s central idea: first, that octopuses are unusually intelligent and second, that their ability to use or save tools demonstrates their intelligence. Correct answers must include the word octopus or one of its plural forms (octopuses, octopi, octopodes). 
","The central idea of the passage is that octopuses’ ability to use and save tools demonstrates that they are unusually intelligent.

that octopuses are very intelligent, as shown by their use of tools
","- Incorrect answers may:
  - omit octopuses’ use of tools, which is the main focus of the passage
  - focus on or include minor details from the passage, e.g., “One way octopuses show their intelligence is by opening jars”
  - lift long phrases or sentences directly from the text, rather than stating the central idea in the students’ own words, e.g., “Octopuses show their intelligence by solving puzzles, opening jars, and navigating mazes”
  - be more than a single sentence long 
",Summarize the central idea of a passage,Longer,Low,Moderate,High
ELA,8,"The Earth is dying. Between climate change, pollution, and resource depletion, the future of life on this planet is uncertain. Could the solution be to make our home on a new planet? While it may be tempting to solve our problems on Earth by simply moving to a new planet, the complexities of developing a new planetary home make migrating off-planet an unrealistic option.

The process of transforming an inhospitable planet into a habitable world is known as terraforming. It involves changing a planet's atmosphere, temperature, surface, and ecology to mirror those of Earth. Currently, the most popular candidate for terraforming is Mars, due to its closeness and similarities to Earth. However, terraforming Mars would require resources and technology that we don't currently possess—indeed, we don't even have the technology to send a single human to Mars! 

Furthermore, terraforming poses ethical dilemmas. Some argue that planets should be left in their natural, undisturbed state. Others claim that a desire to preserve uninhabited planets shouldn't trump the needs of billions of life forms here on Earth.

Terraforming is an exciting possibility, but its realities are complex. We would be better off dedicating time and effort to protecting and healing this planet, rather than finding ourselves a new one.

Part A: What is the author’s primary argument? 

Part B: What is one piece of evidence that the author includes to support their primary argument?
","Correct answers to Part A will recognize that the author’s primary argument is that settling a new planet is not a viable solution to environmental problems on Earth. Students should recognize that the author is not simply arguing against colonization of a new planet, but arguing against such colonization particularly as a solution to current environmental problems. Correct answers may be direct quotations from the text (the last sentence of the first paragraph or the last sentence of the fourth paragraph) or may be paraphrased in the student’s own words. 

Correct answers to Part B will identify a single, specific piece of evidence from the text that shows why settling a new planet is unrealistic: the evidence must highlight one of the problems with or drawbacks to attempting to create human settlements on another planet. Correct answers may be directly quoted from the text or paraphrased in the students’ own words. 

Correct answers must use complete sentences.
","- Part A: 
  - Students may cite the author’s primary argument by quoting from the text, e.g., “While it may be tempting to solve our problems on Earth by simply moving to a new planet, the complexities of developing a new planetary home make migrating off-planet an unrealistic option.”; “We would be better off dedicating time and effort to protecting and healing this planet, rather than finding ourselves a new one.”
  - Students may also paragraph this idea in their own words, e.g., “terraforming isn’t a realistic or ethical way to solve environmental problems.”
- Part B:
  - The author offers several pieces of evidence to support their primary argument: 
    - that we don’t have the resources or technology to settle Mars
    - that we don’t have the technology to send someone to Mars
    - that planets should be left in their natural state
    - that the needs of life forms on earth should be prioritized over other planets. 
  - Students should choose only one of these pieces of evidence. They may either quote directly from the text or paraphrase these pieces of evidence. 
","- Part A: 
  - Students may notice that the author is arguing against terraforming, but not recognize that the author is, more specifically, arguing against terraforming as a solution to current environmental problems, e.g., “terraforming is too complex” or “settling another planet is really difficult.”
  - Students may mistake assertions in the introduction for the primary argument, e.g., “The Earth is dying”; “the future of life on this planet is uncertain.”
  - Students may mistake pieces of evidence for the primary argument, e.g., “terraforming Mars would require resources and technology that we don’t currently possess.”
- Part B:
  - Students may simply restate the primary argument, rather than pointing to evidence that supports it. 
  - Students may make general statements, e.g., “terraforming is complex,” rather than specific evidence showing that terraforming is neither possible nor ethical.
  - Students may copy/paste whole paragraphs or the complete text. 
",Identify authors primary argument using evidence,Longer,High,Broad,High
ELA,9,"The Silk Road, a system of trade routes that changed the course of history, extended over 4,000 miles from ancient China to the Mediterranean Sea. From around 200 B.C.E. to 1453 C.E., the Silk Road allowed people from Asia, the Middle East, and parts of Africa and Europe to trade goods like silk, tea, spices, cloth, and jade. This ancient superhighway facilitated the exchange not only of goods, but of groundbreaking ideas and inventions as well. Paper, which was invented in China, spread to the West via the Silk Road. Paper was introduced into Europe in the 12th and 13th centuries, revolutionizing communication by making writing materials cheaper and more widely available. The compass was another invention that traveled the Silk Road, leading to its widespread use. Having a compass was like having a tiny treasure map that could guide merchants and explorers across the vast, unpredictable terrain of the ancient world. The Silk Road was even responsible for the spread of different religions and philosophies. Buddhism, now one of the major religions of East Asia, was introduced to China by Buddhist monks traveling along the Silk Road. The Silk Road made possible an exchange of goods and ideas that shaped not only the ancient world, but also our own.

Write an objective summary of the text. Your summary should be 2–3 sentences long.
","Correct answers will be 2–3 sentences long and include the main ideas of the passage: that the Silk Road was an important trade route that connected many different parts of the world; that it allowed for the exchange of goods, inventions, and ideas; and that it changed history and/or shaped both the ancient and modern worlds. Correct answers should be written in the students’ own words and should be free from students’ personal opinions on the topic. 
","The Silk Road was an important ancient trade route that made it possible for people in Asia, the Middle East, Europe, and Africa to trade both material goods and ideas. Revolutionary inventions like paper and new religions and philosophies like Buddhism were spread by the Silk Road, changing the course of ancient history and affecting society today. 
","- Incorrect responses may:
  - be less than 2 sentences long or greater than 3 sentences long
  - include long phrases, clauses, or complete sentences taken directly from the text, with or without quotation marks, rather than paraphrasing the text in their own words
  - omit main ideas of the text
  - focus too heavily on minor details in the text
- Example:
  - The Silk Road was really important because it helped introduce paper to Europe and it was also how Buddhism spread.
",Summarize a text,Longer,Low,Broad,High
ELA,10,"In the morning, Janelle slid into clothes that had been chosen, ordered, and delivered overnight through Helpr; they appeared on her nightstand as if by magic. Anticipating her arrival, her appliances whirred into gear, performing a machine ballet that resulted in a breakfast sandwich, steaming hot, pirouetting onto a plate just as she stepped into the kitchen. She summoned a DrivePod, and as she sat on her building’s stoop, sandwich in hand, she noticed her neighbor step outside. At least, she assumed he was her neighbor. He looked vaguely familiar, but they'd never spoken.

She tried to say hello, but he didn't acknowledge her. Understandable, she thought. It was impossible for him to distinguish her from the background images in his ad-supported Alternative-Reality display. In his field of vision, her face was covered by an ad for dishwasher tablets. She could see the ad projected on the screen of his translucent headset. Her DrivePod arrived, and she climbed into the foam seat, which molded around her in a way that was both immobilizing and unsettling.

""Elevated heart-rate detected,"" said Helpr, performing a software handshake with DrivePod. ""Engaging aromatherapy response."" A spritz of lavender oil landed on Janelle's chin. The DrivePod took off. 

Janelle did not feel lonesome, for she did not know how to put that aching, empty, soul-shivering quake of a feeling into a single word.

A student identified this theme of the text: Technology can isolate us from other people. 

Does the text support this theme? Explain your answer in 2–3 complete sentences, citing at least one piece of evidence from the story.
","Correct answers should recognize that the text does support this theme and cite one piece of evidence from the text (either cited directly or paraphrased) that shows that the text supports the theme. They should include an explanation of how the evidence connects to or supports the theme. Correct answers must include at least two complete sentences.
","The story supports the theme that technology can isolate us from other people. In paragraph 2, Janelle’s neighbor doesn’t notice her because he’s wearing a virtual reality headset that prevents him from seeing her. Because he is wearing this technology, Janelle and her neighbor are unable to interact face-to-face and are instead isolated from each other.
","- Incorrect responses may:
  - Not be written in complete sentences
  - Not include at least two complete sentences
  - Not recognize that the story supports the theme
  - Omit text evidence, either cited directly or paraphrased
  - Fail to explain how text evidence supports the theme
- Example:
  - This story does support the theme because it shows that technology can isolate us from other people.",Determine if a text supports a theme using evidence,Longer,High,Broad,High
