response_id,item,domain,scorer_type,llm_1,llm_2,llm_3,llm_avg,model_size,model_name,rubric_type
444,16,Math,basic,0,0,0,0,New,OpenAI o4 Mini,Empty
655,9,ELA,criteria,0,0,0,0,New,Gemini 2.5 Pro,Criteria Only
186,3,ELA,criteria,1,1,1,1,New,Claude 4.0 Sonnet,Criteria Only
42,11,Math,criteria_examples,0,0,0,0,New,Gemini 2.5 Pro,Full
750,10,ELA,basic,1,1,1,1,New,OpenAI o3,Empty
9,1,ELA,criteria,0,0,0,0,New,OpenAI o3,Criteria Only
781,20,Math,basic,1,1,1,1,New,OpenAI o3,Empty
379,15,Math,criteria,0,0,0,0,New,Claude 4.0 Sonnet,Criteria Only
629,18,Math,basic,1,1,1,1,New,OpenAI o3,Empty
515,7,ELA,criteria_examples,1,1,1,1,New,OpenAI o3,Full
521,17,Math,criteria_examples,0,0,0,0,New,OpenAI o4 Mini,Full
685,19,Math,criteria,0,0,0,0,New,Gemini 2.5 Pro,Criteria Only
335,5,ELA,criteria,0,0,0,0,New,OpenAI o3,Criteria Only
519,7,ELA,criteria_examples,1,1,1,1,New,Gemini 2.5 Pro,Full
449,16,Math,criteria,0,0,0,0,New,OpenAI o3,Criteria Only
116,2,ELA,criteria,1,1,1,1,New,Claude 4.0 Sonnet,Criteria Only
490,7,ELA,basic,0,0,0,0,New,Claude 4.0 Sonnet,Empty
90,2,ELA,basic,0,0,0,0,New,Gemini 2.5 Pro,Empty
700,19,Math,criteria_examples,0,0,0,0,New,Gemini 2.5 Pro,Full
745,10,ELA,criteria,1,1,1,1,New,Gemini 2.5 Pro,Criteria Only
672,9,ELA,criteria,1,1,1,1,New,Claude 4.0 Sonnet,Criteria Only
212,13,Math,basic,0,0,0,0,New,OpenAI o4 Mini,Empty
282,14,Math,basic,0,0,0,0,New,Claude 4.0 Sonnet,Empty
749,10,ELA,basic,1,1,1,1,New,Claude 4.0 Sonnet,Empty
122,12,Math,criteria_examples,0,0,0,0,New,Claude 4.0 Sonnet,Full
145,12,Math,basic,1,1,1,1,New,OpenAI o3,Empty
371,15,Math,criteria,0,0,0,0,New,OpenAI o3,Criteria Only
63,11,Math,criteria,1,1,1,1,New,Gemini 2.5 Pro,Criteria Only
512,7,ELA,criteria,1,1,1,1,New,Gemini 2.5 Pro,Criteria Only
765,20,Math,basic,0,0,0,0,New,OpenAI o4 Mini,Empty
