response_id,item,domain,scorer_type,model_size,model_name,rubric_type,"model_size == ""New""",model_rubric,llm_1,llm_2,llm_3,llm_avg,human_1,human_2,human_3,human_avg
416,6,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
261,4,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,1,1,1,1
246,4,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
635,18,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
672,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,0,1
579,8,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
242,4,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
760,10,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,1,1,0,1
262,4,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
728,10,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
661,9,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,0,0,0,0
182,3,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,1,1,1,1,1,1,1,1
50,11,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
22,1,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
282,14,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
757,10,ELA,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,1,1,1,1,1,1,1,1
558,17,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,1,1,1
41,11,Math,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,0,0,0,0
200,3,ELA,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,1,1,1,1,1,1,1,1
131,12,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,0,0,0
772,20,Math,basic,Frontier,OpenAI o1,Empty,NA,OpenAI o1: Empty,0,0,0,0,0,1,0,0
691,19,Math,criteria_examples,Frontier,OpenAI o1,Full,NA,OpenAI o1: Full,0,0,0,0,0,0,0,0
760,10,ELA,criteria,Frontier,OpenAI o1,Criteria Only,NA,OpenAI o1: Criteria Only,0,0,0,0,1,1,0,1
