response_id,item,domain,scorer_type,llm_1,llm_2,llm_3,llm_avg,model_size,model_name,rubric_type
416,6,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
285,14,Math,criteria,0,0,0,0,Large,GPT-4o,Criteria Only
453,16,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
473,16,Math,basic,1,1,1,1,Small,Gemini 1.5 Flash 8b,Empty
408,6,ELA,basic,0,0,0,0,Large,Claude 3.5 Sonnet,Empty
403,6,ELA,basic,0,0,0,0,Small,Gemini 1.5 Flash 8b,Empty
261,4,ELA,basic,0,0,0,0,Frontier,OpenAI o1,Empty
204,13,Math,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
246,4,ELA,criteria_examples,0,0,0,0,Frontier,OpenAI o1,Full
194,3,ELA,criteria_examples,1,1,1,1,Small,Llama 3.1 8b,Full
372,15,Math,criteria_examples,0,0,0,0,Large,GPT-4o,Full
202,13,Math,criteria_examples,0,0,0,0,Large,Claude 3.5 Sonnet,Full
445,16,Math,criteria,0,0,0,0,Large,Claude 3.5 Sonnet,Criteria Only
462,16,Math,criteria_examples,1,1,1,1,Large,Llama 3.1 405b,Full
116,2,ELA,basic,1,1,1,1,Large,Llama 3.1 405b,Empty
363,15,Math,basic,0,0,0,0,Large,Llama 3.1 405b,Empty
772,20,Math,criteria,0,0,0,0,Small,Claude 3.5 Haiku,Criteria Only
735,10,ELA,criteria_examples,0,0,0,0,Small,Claude 3.5 Haiku,Full
635,18,Math,basic,1,1,1,1,Frontier,OpenAI o1,Empty
666,9,ELA,basic,1,1,1,1,Small,GPT-4o mini,Empty
82,2,ELA,basic,0,0,0,0,Small,Claude 3.5 Haiku,Empty
709,19,Math,criteria_examples,1,1,1,1,Large,Llama 3.1 405b,Full
445,16,Math,criteria_examples,0,0,0,0,Small,GPT-4o mini,Full
182,3,ELA,criteria_examples,1,1,1,1,Large,Llama 3.1 405b,Full
510,7,ELA,criteria_examples,1,1,1,1,Small,Claude 3.5 Haiku,Full
724,10,ELA,criteria,0,0,0,0,Small,Llama 3.1 70b,Criteria Only
