domain,item,response_id,response,human_1,human_2,human_3,human_avg
ELA,1,1,unintended,0,0,0,0
ELA,1,2,criminal,0,0,0,0
ELA,1,3,subtracting,0,0,0,0
ELA,1,4,deleterious,0,0,0,0
ELA,1,5,missing,0,0,0,0
ELA,1,6,remaining,0,0,0,0
ELA,1,7,malevolent,0,0,1,0
ELA,1,8,widespread,0,0,0,0
ELA,1,9,erasing,0,0,0,0
ELA,1,10,helpful,0,0,0,0
ELA,1,11,theft,0,0,0,0
ELA,1,12,effective,0,0,0,0
ELA,1,13,imperfect,0,0,0,0
ELA,1,14,Deleterious probably means fair. The author's talking about how utilitarianism tries to be fair to everyone.,0,0,0,0
ELA,1,15,Deleterious could mean illegal. The example they give after using the word is about stealing.,0,0,0,0
ELA,1,16,It means 'unfair' because the example given later shows unfairness.,0,0,0,0
ELA,1,17,It implies something with a slight or insignificant effect.,0,0,0,0
ELA,1,18,It means not necessary.,0,0,0,0
ELA,1,19,deleted,0,0,0,0
ELA,1,20,silly,0,0,0,0
ELA,1,21,harmful,1,1,1,1
ELA,1,22,damaging,1,1,1,1
ELA,1,23,detrimental,1,1,1,1
ELA,1,24,detrimental,1,1,1,1
ELA,1,25,It describes negative effects.,1,1,0,1
ELA,1,26,harmful,1,1,1,1
ELA,1,27,pernicious,0,1,1,1
ELA,1,28,harmful,1,1,1,1
ELA,1,29,damaging,1,1,1,1
ELA,1,30,harmful,1,1,1,1
ELA,1,31,harm,0,0,1,0
ELA,1,32,harmful,1,1,1,1
ELA,1,33,negative,1,1,1,1
ELA,1,34,Deleterious probably means having negative outcomes. It indicates that something is harmful or detrimental.,1,1,1,1
ELA,1,35,Deleterious could mean causing bad results. It refers to something harmful or detrimental.,1,1,1,1
ELA,1,36,It means 'harmful' because it signifies something unfavorable.,1,1,1,1
ELA,1,37,"It describes something with harmful, detrimental, or negative effects.",1,1,1,1
ELA,1,38,It means harmful or damaging.,1,1,1,1
ELA,1,39,It signifies harmful or detrimental consequences.,1,1,1,1
ELA,1,40,harmful,1,1,1,1
ELA,2,81,The tone is passionate.,0,0,0,0
ELA,2,82,skeptical,0,0,0,0
ELA,2,83,factual,0,0,0,0
ELA,2,84,just normal,0,0,0,0
ELA,2,85,"There is no tone, just facts.",0,0,0,0
ELA,2,86,good,0,0,0,0
ELA,2,87,We're all going to die,0,0,0,0
ELA,2,88,"concerned, because it talks about all these issues like food supplies dwindling",0,0,0,0
ELA,2,89,negative,0,0,0,0
ELA,2,90,straightforward,0,0,0,0
ELA,2,91,ingenious,0,0,0,0
ELA,2,92,Happy and excited. The author is really happy abou tthe use of groundwater.,0,0,0,0
ELA,2,93,Maybe the tone is just neutral? They're just explaining stuff about groundwater without getting emotional about it.,0,0,0,0
ELA,2,94,"It's hard to tell the tone from just a written paragraph, so I'd say there isn't a tone.",0,0,0,0
ELA,2,95,"The tone of the passage is negative. 

",0,0,0,0
ELA,2,96,It's trying to warn people use less ground water.,0,0,0,0
ELA,2,97,The author is angry.,0,0,0,0
ELA,2,98,The author is worried about groundwater running out,0,0,0,0
ELA,2,99,The passage has a biased tone,0,0,0,0
ELA,2,100,The author chooses words to make the reader feel afraid so its a panicky tone,0,0,0,0
ELA,2,101,The tone is optimistic.,1,1,1,1
ELA,2,102,hopeful,1,1,1,1
ELA,2,103,positive,1,1,1,1
ELA,2,104,hopeful and optimistic,1,1,1,1
ELA,2,105,There is a hopeful and optimistic tone.,1,1,1,1
ELA,2,106,confident,0,0,1,0
ELA,2,107,We're all going to be okay.,0,0,0,0
ELA,2,108,"bright, because it talks about all these positive things like a hopeful future",1,1,1,1
ELA,2,109,positive,1,1,1,1
ELA,2,110,promising,0,0,0,0
ELA,2,111,enthusiastic,1,0,1,1
ELA,2,112,Assuring and optimistic. The passage has an assuring tone.,1,1,1,1
ELA,2,113,Maybe the tone is favorable? It comes across as hopeful and optimistic.,1,1,1,1
ELA,2,114,"It's hard to tell, but I'd say the tone is constructive.",0,0,0,0
ELA,2,115,The tone of the passage is positive in outlook.,1,1,1,1
ELA,2,116,It's conveying a message full of hope.,1,1,1,1
ELA,2,117,The author is encouraged.,1,1,1,1
ELA,2,118,The author is hope-filled,1,1,1,1
ELA,2,119,The passage has a hopeful and optimistic tone,1,1,1,1
ELA,2,120,"The author chooses words to make the reader feel confident about the future, so it's a hopeful and optimistic tone.",1,1,1,1
ELA,3,161,"without permission, horrifying treatment, conducted research",0,0,0,0
ELA,3,162,"brainwashing, manipulation, war",0,0,0,0
ELA,3,163,"sinister-sounding, mind-altering, images",0,0,0,0
ELA,3,164,control,0,0,0,0
ELA,3,165,behavior,0,0,0,0
ELA,3,166,experiments,0,0,0,0
ELA,3,167,example,0,0,0,0
ELA,3,168,hypnosis,0,0,0,0
ELA,3,169,suffered horrifying treatment,0,1,0,0
ELA,3,170,mind altering drugs,0,0,0,0
ELA,3,171,were terrible enough,0,0,0,0
ELA,3,172,someone died there,0,0,0,0
ELA,3,173,sinister and mind-altering and supervillains,0,1,0,0
ELA,3,174,"I'd say ""suspects"", ""prisoners"", and ""Soviet Union"" show the tone. The author is being critical of how they treated these people.",0,0,0,0
ELA,3,175,interrogate suspecs and prisionsers,0,0,0,0
ELA,3,176,"science fiction, movie, permission",0,0,0,0
ELA,3,177,"prisoners, researchers, participants",0,0,0,0
ELA,3,178,"hypnosis, Army officer, died",0,0,0,0
ELA,3,179,"supervillains, experiments, critical",0,0,0,0
ELA,3,180,"war, drugs, died",0,0,0,0
ELA,3,181,"notorious, sinister, brainwashing",1,1,1,1
ELA,3,182,"supervillains, manipulation, horrifying",1,1,1,1
ELA,3,183,"terrible, suffered, sinister",1,1,1,1
